Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
1.8600        -1149.339    -1166.327       16.987   959.3
1.8650        -1149.469    -1166.944       17.475   986.8
1.8700        -1149.619    -1167.023       17.404   982.8
1.8750        -1149.751    -1166.739       16.988   959.3
1.8800        -1149.834    -1166.326       16.492   931.3
1.8850        -1149.889    -1166.366       16.477   930.5
1.8900        -1149.939    -1166.312       16.374   924.6
1.8950        -1149.954    -1165.598       15.644   883.4
1.9000        -1149.878    -1164.568       14.690   829.5
1.9050        -1149.737    -1164.315       14.578   823.2
1.9100        -1149.615    -1164.464       14.849   838.5
1.9150        -1149.524    -1164.501       14.977   845.7
1.9200        -1149.432    -1164.343       14.910   842.0
1.9250        -1149.322    -1164.272       14.950   844.2
1.9300        -1149.257    -1165.169       15.911   898.5
1.9350        -1149.288    -1166.086       16.798   948.6
1.9400        -1149.383    -1166.490       17.107   966.0
1.9450        -1149.484    -1166.286       16.802   948.8
1.9500        -1149.534    -1165.843       16.308   920.9
1.9550        -1149.584    -1166.115       16.531   933.5
1.9600        -1149.661    -1166.370       16.709   943.6
1.9650        -1149.746    -1166.328       16.582   936.4
1.9700        -1149.792    -1165.734       15.942   900.2
1.9750        -1149.788    -1165.669       15.881   896.8
1.9800        -1149.806    -1166.003       16.197   914.6
1.9850        -1149.849    -1166.207       16.359   923.8
1.9900        -1149.885    -1165.728       15.844   894.7
1.9950        -1149.820    -1164.645       14.825   837.2
2.0000        -1149.709    -1164.525       14.816   836.6
2.0050        -1149.595    -1164.544       14.949   844.2
2.0100        -1149.489    -1164.260       14.772   834.2
2.0150        -1149.366    -1164.033       14.667   828.3
2.0200        -1149.245    -1164.207       14.962   844.9
2.0250        -1149.198    -1165.378       16.179   913.6
2.0300        -1149.274    -1166.191       16.917   955.3
2.0350        -1149.348    -1165.673       16.326   921.9
2.0400        -1149.362    -1165.206       15.844   894.7
2.0450        -1149.348    -1165.256       15.908   898.3
2.0500        -1149.365    -1165.586       16.221   916.0
2.0550        -1149.376    -1165.007       15.631   882.7
2.0600        -1149.313    -1164.270       14.957   844.6
2.0650        -1149.216    -1164.289       15.072   851.1
2.0700        -1149.178    -1165.227       16.049   906.3
2.0750        -1149.234    -1166.462       17.227   972.8
2.0800        -1149.392    -1167.042       17.651   996.7
2.0850        -1149.540    -1166.531       16.991   959.5
